id,filename,file_type,damage_type,confidence,processing_time,created_at,output_path
29,5.jpeg,image,0,0.547,0.333,2026-09-03T11:33:44,backend\outputs\annotated_5f589bf822c6.jpeg
28,5.jpeg,image,0,0.547,2.791,2026-09-03T11:33:38,backend\outputs\annotated_3ce959d95536.jpeg
27,933d4e2cc5f8.jpg,image,0,0.7818,35.6,2026-09-03T11:04:01,backend\outputs\annotated_43321c54dec0.jpg
26,414aaff4e920.jpg,image,0,0.4895,84.592,2026-09-03T10:56:57,backend\outputs\annotated_d3ab55fde523.jpg
25,933d4e2cc5f8.jpg,image,0,0.7818,14.078,2026-09-03T10:49:17,backend\outputs\annotated_224c6dc5299e.jpg
24,05716c106234.jpg,image,0,0.595,16.286,2026-09-03T10:16:41,backend\outputs\annotated_6a82af659864.jpg
23,933d4e2cc5f8.jpg,image,0,0.7818,76.331,2026-09-03T09:55:39,backend\outputs\annotated_adc77854c9d1.jpg
22,05716c106234.jpg,image,0,0.595,193.476,2026-09-03T09:55:37,backend\outputs\annotated_f009cd368044.jpg
21,shutterstock_1336516589-scaled.jpg,image,0,0.6072,2.089,2026-09-01T12:49:54,backend\outputs\annotated_3b97fe1c637a.jpg
20,roads-2.jpeg,image,0,0.5242,1.306,2026-09-01T12:48:55,backend\outputs\annotated_e20364ed7df6.jpeg
19,05716c106234.jpg,image,0,0.595,1.433,2026-09-01T12:48:25,backend\outputs\annotated_c28e9157da89.jpg
18,05716c106234.jpg,image,0,0.595,2.357,2026-09-01T12:48:17,backend\outputs\annotated_e5f23e44c869.jpg
17,roads-2.jpeg,image,0,0.5242,1.022,2026-09-01T12:45:31,backend\outputs\annotated_d520ed285228.jpeg
16,shutterstock_1336516589-scaled.jpg,image,0,0.6072,2.474,2026-09-01T12:43:02,backend\outputs\annotated_e7bd77b0d45e.jpg
15,6bd6f98df346.jpg,image,0,0.7818,1.213,2026-09-01T12:41:06,backend\outputs\annotated_933d4e2cc5f8.jpg
14,05716c106234.jpg,image,0,0.595,3.559,2026-09-01T12:40:35,backend\outputs\annotated_04576516dfbf.jpg
13,images_2.jpg,image,0,0.6381,2.238,2026-09-01T12:31:44,backend\outputs\annotated_06c6b88c283c.jpg
12,images_2.jpg,image,0,0.6381,1.129,2026-09-01T12:31:36,backend\outputs\annotated_40776e6053e5.jpg
11,images.jpg,image,0,0.4895,0.539,2026-09-01T12:25:14,backend\outputs\annotated_414aaff4e920.jpg
10,images_1.jpg,image,0,0.595,0.55,2026-09-01T12:24:53,backend\outputs\annotated_05716c106234.jpg
9,images_1.jpg,image,0,0.595,7.926,2026-09-01T12:24:16,backend\outputs\annotated_a3b2484a8d04.jpg
8,338958_1.mp4,video,0,0.5026,13.938,2026-08-29T14:14:55,backend\outputs\annotated_e197ef76679e.mp4
7,346236_medium.mp4,video,0,0.3459,9.962,2026-08-29T14:14:02,backend\outputs\annotated_3f7ae4480904.mp4
6,e9c4770662ea.jpg,image,0,0.7818,1.343,2026-08-29T14:09:23,backend\outputs\annotated_6bd6f98df346.jpg
5,5b6e907ec5a2.jpg,image,0,0.7853,2.377,2026-08-29T14:08:36,backend\outputs\annotated_102789863bde.jpg
3,4d11308e3280.mp4,video,0,0.5219,31.854,2026-08-29T13:52:00,backend\outputs\annotated_b2b857ec9f20.mp4
2,0be078536de1.mp4,video,0,0.5219,35.879,2026-08-29T13:50:42,backend\outputs\annotated_c36e48a8956c.mp4
1,2b36199d4df1.jpg,image,0,0.7818,9.599,2026-08-29T13:49:46,backend\outputs\annotated_5a9bde5b05c9.jpg
