id,filename,file_type,damage_type,confidence,processing_time,created_at,output_path
67,1.jpg,image,Pothole,0.7818,0.376,2026-09-08T11:08:49,backend\outputs\annotated_64eca3a44ae3.jpg
66,4.jpg,image,Pothole,0.7147,2.083,2026-09-08T11:08:33,backend\outputs\annotated_17c22709009d.jpg
65,0de287369a25.jpg,image,Pothole,0.7335,0.835,2026-09-08T11:06:43,backend\outputs\annotated_8853a8c16176.jpg
64,5.jpg,image,Pothole,0.6445,0.479,2026-09-08T11:06:24,backend\outputs\annotated_c757daf23f04.jpg
63,0de287369a25.jpg,image,Pothole,0.7335,4.66,2026-09-08T10:53:30,backend\outputs\annotated_7a74f525bca0.jpg
62,5.jpg,image,Pothole,0.6445,1.475,2026-09-08T10:53:11,backend\outputs\annotated_72afdbd3050d.jpg
61,5.jpg,image,Pothole,0.6445,0.569,2026-09-08T10:53:05,backend\outputs\annotated_33cdfc281666.jpg
60,2.jpg,image,Pothole,0.4895,0.397,2026-09-08T10:48:32,backend\outputs\annotated_37a936a9c9a3.jpg
59,1dd867450db7.jpg,image,Pothole,0.7335,22.221,2026-09-08T10:46:15,backend\outputs\annotated_8ae420f90c0c.jpg
58,1dd867450db7.jpg,image,Pothole,0.7335,10.607,2026-09-07T23:33:40,backend\outputs\annotated_0de287369a25.jpg
57,images.jpg,image,Pothole,0.573,2.214,2026-09-07T14:41:11,backend\outputs\annotated_de7ee74a093b.jpg
56,images.jpg,image,Pothole,0.573,2.833,2026-09-07T14:41:02,backend\outputs\annotated_9f2b44a4e716.jpg
55,5.jpg,image,Pothole,0.6445,1.387,2026-09-07T14:39:48,backend\outputs\annotated_7f9cd794f5eb.jpg
54,2.jpg,image,Pothole,0.4895,14.488,2026-09-07T14:36:51,backend\outputs\annotated_20726b941cbf.jpg
53,1334dc97df06.jpg,image,Pothole,0.7818,1.463,2026-09-07T13:56:00,backend\outputs\annotated_fdd4da28591a.jpg
52,8.jpg,image,Pothole,0.7335,6.64,2026-09-07T13:54:12,backend\outputs\annotated_1dd867450db7.jpg
51,6.jpg,image,Pothole,0.804,14.554,2026-09-07T13:53:40,backend\outputs\annotated_242ebb02e037.jpg
50,8.jpg,image,Pothole,0.7335,7.451,2026-09-07T13:49:26,backend\outputs\annotated_a7e6d1f2a7a4.jpg
49,8.jpg,image,0,0.7335,13.093,2026-09-04T12:24:41,backend\outputs\annotated_8a228d986acd.jpg
48,1.jpg,image,0,0.7818,12.136,2026-09-04T12:24:29,backend\outputs\annotated_1334dc97df06.jpg
47,8.jpg,image,0,0.7335,1.357,2026-09-04T12:21:27,backend\outputs\annotated_ef96421566df.jpg
46,9.jpg,image,0,0.4416,1.75,2026-09-04T12:21:10,backend\outputs\annotated_1a3dfee29da3.jpg
45,9.jpg,image,0,0.4416,1.427,2026-09-04T12:21:03,backend\outputs\annotated_eed4f8d3a86b.jpg
44,8.jpg,image,0,0.7335,8.065,2026-09-04T12:18:43,backend\outputs\annotated_cee061292b1a.jpg
43,6.jpg,image,0,0.804,3.876,2026-09-04T12:15:35,backend\outputs\annotated_ea2457d12c20.jpg
42,6.jpg,image,0,0.804,5.509,2026-09-04T12:15:24,backend\outputs\annotated_1542db27a67e.jpg
41,16074d204ec3.jpg,image,0,0.7818,3.194,2026-09-04T12:07:55,backend\outputs\annotated_f7ddbcfb9368.jpg
40,uhd_30fps.mp4,video,0,0.4363,54.7,2026-09-04T12:05:42,backend\outputs\annotated_e03c8cd1671a.mp4
39,uhd_30fps.mp4,video,0,0.4363,199.669,2026-09-04T12:01:46,backend\outputs\annotated_e516c9d41720.mp4
38,1.jpg,image,0,0.7818,7.956,2026-09-04T10:50:42,backend\outputs\annotated_16074d204ec3.jpg
37,6d3942e1241d.jpg,image,0,0.7147,3.562,2026-09-04T10:50:09,backend\outputs\annotated_00a3d762472b.jpg
36,7112fc223f55.jpeg,image,0,0.547,4.047,2026-09-04T10:49:40,backend\outputs\annotated_48de2b3390bf.jpeg
35,dcfb15b4cf37.jpg,image,0,0.7818,6.938,2026-09-04T10:42:44,backend\outputs\annotated_e8e53f39cc2b.jpg
34,dcfb15b4cf37.jpg,image,0,0.7818,4.91,2026-09-04T10:42:29,backend\outputs\annotated_14487afacbe5.jpg
33,4.jpg,image,0,0.7147,5.946,2026-09-04T10:41:25,backend\outputs\annotated_6d3942e1241d.jpg
32,5.jpeg,image,0,0.547,28.347,2026-09-04T10:40:35,backend\outputs\annotated_7112fc223f55.jpeg
31,3.jpg,image,0,0.595,11.768,2026-09-03T19:02:16,backend\outputs\annotated_3e228139497a.jpg
